City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
344,bubaque,11.2833,-15.8333,25.160000000000025,71,18,8.17,GW,1713735527
345,weno,7.4515,151.8468,27.970000000000027,89,75,2.06,FM,1713735534
346,nha trang,12.25,109.1833,29.0,82,19,1.87,VN,1713735535
347,mandiana,10.6333,-8.6833,26.670000000000016,64,79,4.02,GN,1713735535
348,naze,28.3667,129.4833,21.510000000000048,94,100,2.39,JP,1713735243
349,bodo,67.28,14.405,1.5400000000000205,44,0,8.75,NO,1713735538
350,camacupa,-12.0167,17.4833,19.100000000000023,66,91,1.5,AO,1713735432
351,pamandzi,-12.7967,45.2794,27.879999999999995,83,0,3.09,YT,1713735539
352,la ronge,55.1001,-105.2842,14.140000000000043,14,40,3.09,CA,1713735539
353,kaduy,59.2,37.15,9.689999999999998,64,100,5.55,RU,1713735540
354,mangochi,-14.4782,35.2645,19.410000000000025,81,15,2.24,MW,1713735541
355,deder,9.3167,41.45,14.850000000000023,81,83,0.12,ET,1713735548
356,reggane,26.7158,0.1714,27.439999999999998,8,34,5.33,DZ,1713735548
357,eregli,37.5133,34.0467,13.680000000000007,53,31,1.6,TR,1713735549
358,klyuchi,52.2667,79.1667,13.439999999999998,62,9,4.49,RU,1713735549
359,kikwit,-5.041,18.8162,24.410000000000025,84,64,0.82,CD,1713735550
360,mournies,35.4764,24.0092,15.460000000000036,77,40,1.54,GR,1713735550
361,pacasmayo,-7.4006,-79.5714,21.860000000000014,80,99,5.0,PE,1713735554
362,santa terezinha,-29.9002,-50.0904,21.27000000000004,77,82,3.21,BR,1713735554
363,brigantine,39.4101,-74.3646,11.220000000000027,48,0,5.66,US,1713735316
364,bogale,16.2833,95.4,26.260000000000048,84,51,3.76,MM,1713735555
365,vila franca do campo,37.7167,-25.4333,18.27000000000004,99,100,1.95,PT,1713735556
366,kuala terengganu,5.3302,103.1408,26.970000000000027,94,20,1.54,MY,1713735556
367,vila velha,-20.3297,-40.2925,24.970000000000027,73,0,3.09,BR,1713735383
368,baranivka,50.2969,27.6622,4.990000000000009,86,100,6.53,UA,1713735557
369,katsuura,35.1333,140.3,15.010000000000048,89,100,7.69,JP,1713735557
370,tsiombe,-25.3,45.4833,18.620000000000005,91,0,1.29,MG,1713735557
371,palikir - national government center,6.9248,158.1611,28.410000000000025,79,100,5.14,FM,1713735558
372,toamasina,-18.1667,49.3833,24.0,100,75,0.0,MG,1713735558
373,nchelenge,-9.3451,28.734,21.560000000000002,85,47,1.79,ZM,1713735559
374,uliastay,47.7417,96.8444,-4.199999999999989,46,2,0.98,MN,1713735559
375,puerto leguizamo,-0.1934,-74.7819,26.680000000000007,93,98,0.24,CO,1713735567
376,uribia,11.7139,-72.266,33.120000000000005,45,94,7.8,CO,1713735377
377,haiku-pauwela,20.9219,-156.3051,26.230000000000018,68,40,7.72,US,1713735562
378,el colomo,19.05,-104.25,26.640000000000043,62,36,3.81,MX,1713735568
379,mount isa,-20.7333,139.5,17.870000000000005,52,68,4.63,AU,1713735569
380,necochea,-38.5473,-58.7368,13.210000000000036,51,98,4.0,AR,1713735569
381,ust'-kulom,61.6864,53.6902,-2.2999999999999545,95,99,1.29,RU,1713735570
382,praia da vitoria,38.7333,-27.0667,17.140000000000043,88,75,0.35,PT,1713735571
383,altay,47.8667,88.1167,8.379999999999995,35,6,3.6,CN,1713735518
384,kenai,60.5544,-151.2583,9.050000000000011,49,100,4.12,US,1713735572
385,sarmiento,-45.5882,-69.07,8.010000000000048,40,0,2.46,AR,1713735572
386,namtsy,62.7161,129.6658,-1.3100000000000023,89,97,3.72,RU,1713735573
387,harburg,53.4667,9.9833,5.010000000000048,76,100,3.09,DE,1713735574
388,errachidia,31.9275,-4.4285,15.03000000000003,51,20,1.54,MA,1713735574
389,laojunmiao,39.8333,97.7333,3.650000000000034,32,17,1.9,CN,1713735575
390,fale old settlement,-9.3852,-171.2468,29.629999999999995,76,48,5.16,TK,1713735495
391,shalkar,47.8288,59.6258,17.450000000000045,43,0,5.83,KZ,1713735576
392,kenora,49.8167,-94.4337,12.54000000000002,32,40,6.17,CA,1713735576
393,oroqen zizhiqi,50.5667,123.7167,6.970000000000027,86,100,1.12,CN,1713735576
394,alpine,32.835,-116.7664,29.75,57,0,3.13,US,1713735578
395,east london,-33.0153,27.9116,22.660000000000025,92,100,8.16,ZA,1713735414
396,ust'-kalmanka,52.1207,83.305,10.020000000000039,54,55,3.88,RU,1713735583
397,timimoun,29.2639,0.231,26.210000000000036,21,0,3.6,DZ,1713735585
398,axim,4.8699,-2.2405,28.629999999999995,83,50,4.31,GH,1713735585
399,turiacu,-1.6633,-45.3717,24.730000000000018,95,100,1.54,BR,1713735585
400,mtambile,-5.3833,39.7,26.25,83,89,3.91,TZ,1713735586
401,rebrikha,53.0733,82.3408,12.230000000000018,65,77,5.84,RU,1713735586
402,east ballina,-28.8667,153.5833,17.110000000000014,68,100,8.72,AU,1713735586
403,babana,10.4295,3.815,28.460000000000036,62,100,3.56,NG,1713735587
404,la'ie,21.6477,-157.9253,26.980000000000018,69,6,4.02,US,1713735592
405,pasvalys,56.0594,24.4036,3.420000000000016,84,100,6.73,LT,1713735592
406,ebetsu,43.1081,141.5506,7.2900000000000205,67,88,4.63,JP,1713735592
407,blythe,33.6103,-114.5964,36.25,11,0,3.09,US,1713735596
408,port isabel,26.0734,-97.2086,21.120000000000005,84,100,9.39,US,1713735597
409,muynoq,43.7683,59.0214,21.760000000000048,35,2,2.14,UZ,1713735598
410,cartagena,10.3997,-75.5144,30.79000000000002,70,20,2.57,CO,1713735456
411,huanta,-12.9333,-74.25,25.220000000000027,47,43,1.64,PE,1713735598
412,kincardine,56.0667,-3.7167,10.450000000000045,97,100,1.04,GB,1713735602
413,launceston,-41.45,147.1667,12.860000000000014,93,100,1.03,AU,1713735604
414,baikunthpur,23.25,82.55,26.02000000000004,32,94,1.8,IN,1713735604
415,farim,12.4839,-15.2217,27.900000000000034,39,15,3.3,GW,1713735604
416,flying fish cove,-10.4217,105.6791,24.82000000000005,100,100,3.6,CX,1713735606
417,el bauga,18.262,33.9081,28.629999999999995,7,0,7.21,SD,1713735607
418,petropavlovka,50.6114,105.3196,0.3100000000000023,56,99,4.75,RU,1713735608
419,crane,31.3974,-102.3501,15.57000000000005,52,100,5.16,US,1713735529
420,mesquite,32.7668,-96.5992,20.450000000000045,43,0,4.12,US,1713735608
421,mata-utu,-13.2816,-176.1745,29.260000000000048,77,82,4.86,WF,1713735609
422,arno,60.1167,18.6333,-0.12000000000000455,71,99,7.23,SE,1713735609
423,olanchito,15.5,-86.5667,29.910000000000025,52,20,3.32,HN,1713735611
424,djambala,-2.5447,14.7533,23.79000000000002,77,100,1.17,CG,1713735612
